surah,ayah,word_index,token_ar,root,lemma,pos
1,1,1,بِسْمِ,سمو,اسْم,N
1,1,2,ٱللَّهِ,أله,اللَّه,N
1,1,3,ٱلرَّحْمَٰنِ,رحم,رَحْمٰن,N
1,1,4,ٱلرَّحِيمِ,رحم,رَحِيم,N
1,2,1,ٱلْحَمْدُ,حمد,حَمْد,N
1,2,2,لِلَّهِ,أله,اللَّه,N
1,2,3,رَبِّ,ربب,رَبّ,N
1,2,4,ٱلْعَٰلَمِينَ,علم,عالَم,N
1,3,1,ٱلرَّحْمَٰنِ,رحم,رَحْمٰن,N
1,3,2,ٱلرَّحِيمِ,رحم,رَحِيم,N
1,4,1,مَٰلِكِ,ملك,مالِك,N
1,4,2,يَوْمِ,يوم,يَوْم,N
1,4,3,ٱلدِّينِ,دين,دِين,N
1,5,1,إِيَّاكَ,,,N
1,5,2,نَعْبُدُ,عبد,عَبَدَ,V
1,5,3,وَإِيَّاكَ,,,N
1,5,4,نَسْتَعِينُ,عون,اسْتَعِينُ,V
1,6,1,ٱهْدِنَا,هدي,هَدَى,V
1,6,2,ٱلصِّرَٰطَ,صرط,صِراط,N
1,6,3,ٱلْمُسْتَقِيمَ,قوم,مُسْتَقِيم,N
1,7,1,صِرَٰطَ,صرط,صِراط,N
1,7,2,ٱلَّذِينَ,,الَّذِي,N
1,7,3,أَنْعَمْتَ,نعم,أَنْعَمَ,V
1,7,4,عَلَيْهِمْ,,عَلَى,
1,7,5,غَيْرِ,غير,غَيْر,N
1,7,6,ٱلْمَغْضُوبِ,غضب,مَغْضُوب,N
1,7,7,عَلَيْهِمْ,,عَلَى,
1,7,8,وَلَا,,لا,
1,7,9,ٱلضَّآلِّينَ,ضلل,ضالّ,N
2,1,1,الٓمٓ,,,
2,2,1,ذَٰلِكَ,,ذا,N
2,2,2,ٱلْكِتَٰبُ,كتب,كِتاب,N
2,2,3,لَا,,لا,
2,2,4,رَيْبَ,ريب,رَيْب,N
2,2,5,فِيهِ,,فِي,
2,2,6,هُدًى,هدي,هُدًى,N
2,2,7,لِّلْمُتَّقِينَ,وقي,مُتَّقي,N
2,3,1,ٱلَّذِينَ,,الَّذِي,N
2,3,2,يُؤْمِنُونَ,أمن,آمَنَ,V
2,3,3,بِٱلْغَيْبِ,غيب,غَيْب,N
2,3,4,وَيُقِيمُونَ,قوم,أَقامَ,V
2,3,5,ٱلصَّلَوٰةَ,صلو,صَلاة,N
2,3,6,وَمِمَّا,,ما,N
2,3,7,رَزَقْنَٰهُمْ,رزق,رَزَقَ,V
2,3,8,يُنفِقُونَ,نفق,أَنفَقَ,V
2,4,1,وَٱلَّذِينَ,,الَّذِي,N
2,4,2,يُؤْمِنُونَ,أمن,آمَنَ,V
2,4,3,بِمَآ,,ما,N
2,4,4,أُنزِلَ,نزل,أَنزَلَ,V
2,4,5,إِلَيْكَ,,إِلَى,
2,4,6,وَمَآ,,ما,N
2,4,7,أُنزِلَ,نزل,أَنزَلَ,V
2,4,8,مِن,,مِن,
2,4,9,قَبْلِكَ,قبل,قَبْل,N
2,4,10,وَبِٱلْءَاخِرَةِ,أخر,آخِر,N
2,4,11,هُمْ,,,N
